# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCPGE00000000015	GENE_ENSCPGE00000000015	transcript:ENSCPGT00000000004	protein_coding	0	3	3	80	0	0	0	13	49	3	0	0	0	0	0	3	18
ENSCPGE00000000015	GENE_ENSCPGE00000000015	transcript:ENSCPGT00000000005	protein_coding	0	3	3	80	0	0	0	13	49	3	0	0	0	0	0	3	18
ENSCPGE00000000019	GENE_ENSCPGE00000000019	transcript:ENSCPGT00000000006		0	0	0	188	0	0	0	17	155	0	0	0	0	0	0	0	16
ENSCPGE00000000022	GENE_ENSCPGE00000000022	transcript:ENSCPGT00000000007		0	0	0	188	0	0	0	15	148	0	7	0	0	0	0	0	18
ENSCPGE00000000028	GENE_ENSCPGE00000000028	transcript:ENSCPGT00000000008		0	0	0	69	0	0	0	20	16	0	5	0	0	0	0	0	28
ENSCPGE00000000075	GENE_ENSCPGE00000000075	transcript:ENSCPGT00000000017	protein_coding	0	0	0	93	0	0	0	32	19	0	0	0	0	0	0	0	42
ENSCPGE00000000113	GENE_ENSCPGE00000000113	transcript:ENSCPGT00000000019	protein_coding	0	6	5	1253	1	0	0	20	1201	5	0	0	0	1	0	5	32
ENSCPGE00000000234	GENE_ENSCPGE00000000234	transcript:ENSCPGT00000000039	protein_coding	0	1	4	339	5	0	0	26	282	4	0	0	0	1	0	0	27
ENSCPGE00000000234	GENE_ENSCPGE00000000234	transcript:ENSCPGT00000000048	protein_coding	0	1	4	339	5	0	0	26	282	4	0	0	0	1	0	0	27
ENSCPGE00000000234	GENE_ENSCPGE00000000234	transcript:ENSCPGT00000000056	protein_coding	0	1	4	321	5	0	1	26	261	4	0	0	0	1	0	0	29
